ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_19291X1	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X2	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X3	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_19291X4	True	1.0	1.0	1.0	1.0	2.0	2.0	Mesenchymal	
Sample_19291X5	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_18341X22	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	C2.IMM
Sample_19291X6	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X7	True	1.0	1.0	3.0	1.0	1.0	3.0	Immunoreactive	
Sample_19291X8	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X10	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X11	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X12	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X13	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_18341X23	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	C1.MES
Sample_19291X14	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_19291X15	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X16	True	1.0	1.0	1.0	2.0	3.0	4.0	Mesenchymal	
Sample_19291X17	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X18	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X19	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X20	True	2.0	2.0	2.0	2.0	3.0	3.0	Proliferative	
