ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_20160X108	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X247	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X248	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X284	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X221	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_20160X24	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X1	True	1.0	1.0	4.0	2.0	1.0	4.0	Differentiated	
Sample_20160X2	True	1.0	2.0	4.0	1.0	2.0	3.0	Differentiated	
Sample_20160X3	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X4	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X62	True	2.0	2.0	4.0	1.0	3.0	3.0	Differentiated	
Sample_20160X25	True	1.0	2.0	4.0	2.0	2.0	2.0	Differentiated	
Sample_20160X5	True	1.0	1.0	4.0	2.0	1.0	3.0	Differentiated	
Sample_20160X6	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_20160X7	True	1.0	1.0	4.0	1.0	3.0	3.0	Differentiated	
Sample_20160X203	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X259	True	1.0	1.0	1.0	1.0	2.0	2.0	Mesenchymal	
Sample_18341X1	True	2.0	3.0	4.0	1.0	3.0	3.0	Differentiated	C4.DIF
Sample_20160X278	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X8	True	1.0	1.0	4.0	2.0	1.0	4.0	Differentiated	
Sample_20160X260	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X9	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X257	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X26	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X27	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X28	True	2.0	1.0	1.0	1.0	3.0	2.0	Mesenchymal	
Sample_20160X29	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_18341X4	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	C4.DIF
Sample_18341X2	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	C4.DIF
Sample_20160X109	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X10	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_18341X46	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	C2.IMM
Sample_20160X80	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_20160X30	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X292	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X63	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_18341X9	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	C1.MES
Sample_20160X31	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X32	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X39	True	1.0	2.0	4.0	1.0	2.0	3.0	Differentiated	
Sample_20160X40	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X204	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X33	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X64	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	
Sample_20160X222	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X261	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X65	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X11	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X66	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X34	True	1.0	1.0	4.0	2.0	3.0	3.0	Differentiated	
Sample_20160X145	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X263	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_18341X50	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X67	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X41	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_20160X264	True	1.0	2.0	4.0	2.0	2.0	2.0	Differentiated	
Sample_20160X35	True	1.0	1.0	4.0	2.0	1.0	4.0	Differentiated	
Sample_20160X12	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X280	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X42	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X68	True	1.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X137	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X69	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X179	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_18341X5	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	C1.MES
Sample_20160X43	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_18341X47	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	C4.DIF
Sample_18341X3	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	C2.IMM
Sample_20160X265	True	1.0	1.0	4.0	2.0	3.0	3.0	Differentiated	
Sample_20160X249	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X36	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X266	True	1.0	1.0	1.0	2.0	2.0	4.0	Mesenchymal	
Sample_20160X267	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X186	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X37	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X44	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_20160X187	True	1.0	1.0	4.0	2.0	2.0	3.0	Differentiated	
Sample_20160X268	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_18341X51	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X180	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X162	True	2.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X45	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X46	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X188	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X276	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X189	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X181	True	1.0	1.0	4.0	2.0	1.0	3.0	Differentiated	
Sample_20160X70	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_18341X24	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	C5.PRO
Sample_20160X190	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
